Rank,Major_code,Major,National,Men,Women,Total,Major_category,ShareWomen,Median,Histogram_column,midpoint,
1,GIN,Guinea,68.796333,70.075462,67.35228,137.427742,Africa,0.528552723,68.796333,1,69,
2,BFA,Burkina Faso,66.654243,66.834869,66.468346,133.303215,Africa,0.498625228,66.654243,1,67,
3,SOM,Somalia,63.080555,62.510693,63.733757,126.24445,Africa,0.504844031,63.080555,1,63,
4,NER,Niger,57.718025,58.710922,56.733574,115.444496,Africa,0.491435936,57.718025,1,58,
5,TCD,Chad,54.583504,54.66301,54.499649,109.162659,Africa,0.499251754,54.583504,1,55,
6,GMB,Gambia,49.091194,49.417149,48.745884,98.163033,Africa,0.496580867,49.091194,1,49,
7,BTN,Bhutan,47.342747,49.095341,45.368351,94.463692,Asia,0.480272897,47.342747,1,47,
8,ETH,Ethiopia,45.990513,45.763725,46.224613,91.988338,Africa,0.502505144,45.990513,1,46,
9,LSO,Lesotho,45.856026,47.409447,44.420769,91.830216,Africa,0.483727154,45.856026,2,46,
10,CIV,Cote d'Ivoire,45.066826,46.183765,44.024567,90.208332,Africa,0.488032159,45.066826,1,45,
11,BEN,Benin,41.762695,39.072826,44.636982,83.709808,Africa,0.533234791,41.762695,1,42,
12,MLI,Mali,40.772877,41.543213,39.971058,81.514271,Africa,0.490356566,40.772877,1,41,
13,AFG,Afghanistan,39.640709,40.416656,38.826572,79.243228,Asia,0.489967067,39.640709,1,40,
14,IND,India,37.858204,36.867409,38.973812,75.841221,Asia,0.513886927,37.858204,1,38,
15,GNB,Guinea-Bissau,37.333672,38.179958,36.415726,74.595684,Africa,0.488174705,37.333672,1,37,
16,UZB,Uzbekistan,35.013683,32.286755,38.034119,70.320874,Asia,0.540865277,35.013683,1,35,
17,GAB,Gabon,34.860817,34.595879,35.136841,69.73272,Africa,0.503878825,34.860817,2,35,
18,NAM,Namibia,34.761864,35.604301,33.862484,69.466785,Africa,0.487462951,34.761864,3,35,
19,PAK,Pakistan,34.591179,32.752857,36.502178,69.255035,Asia,0.527068942,34.591179,4,35,
20,MMR,Myanmar,34.520145,33.82177,35.334892,69.156662,Asia,0.510939814,34.520145,5,35,
21,TLS,Timor-Leste,34.459492,35.261909,33.606728,68.868637,Asia,0.487983057,34.459492,1,34,
22,SDN,Sudan,33.785599,33.587368,33.99538,67.582748,Africa,0.503018611,33.785599,2,34,
23,SLE,Sierra Leone,33.188339,35.003487,31.442715,66.446202,Africa,0.473205602,33.188339,1,33,
24,TGO,Togo,33.120941,32.13105,34.168705,66.299755,Africa,0.515366987,33.120941,2,33,
